           1           1 ( 0.50000000004583256     ,  0.0000000000000000     )
           1           2 ( 4.15651447051542983E-006, 1.02469831342820970E-006)
           1           3 ( 1.30306972433032056E-004, 6.53068171492455682E-005)
           1           4 (-8.04252455539947037E-002,-0.41735660289220039     )
           1           5 ( 9.32654940300500085E-003, 5.03894760124024964E-003)
           1           6 ( 2.71543592838033587E-002, 0.14084772762803444     )
           1           7 (-3.10747849855026737E-006, 8.77252878084592257E-006)
           1           8 ( 2.78271899745215906E-005,-2.70876323382046591E-007)
           1           9 ( 4.34768407257730485E-002,-5.14889930769327278E-002)
           1          10 (-3.78169616593258470E-002,-0.18944962910345836     )
           1          11 ( 1.64325465501508755E-004, 2.01609584981759377E-004)
           1          12 (-4.47753954218955974E-004,-4.51907228963537022E-004)
           1          13 ( 2.22186064310746917E-005, 9.00364659272732612E-005)
           1          14 (-1.70711379623364468E-005,-7.55989972242923636E-006)
           1          15 ( 6.29425738274866624E-003,-8.14238279955123781E-003)
           1          16 (-1.53668357745684030E-002,-8.03257928156171780E-002)
           2           1 ( 4.15651447051542983E-006,-1.02469831342820970E-006)
           2           2 ( 0.49999999993253258     ,  0.0000000000000000     )
           2           3 (-8.04252455730194715E-002, 0.41735660287916737     )
           2           4 (-1.30306972433383501E-004, 6.53068171413544196E-005)
           2           5 ( 2.71543592902242469E-002,-0.14084772762363865     )
           2           6 (-9.32654940305409005E-003, 5.03894760066725400E-003)
           2           7 ( 2.78271899739340343E-005, 2.70876325396711068E-007)
           2           8 ( 3.10747850029539918E-006, 8.77252878072427508E-006)
           2           9 (-3.78169616679337323E-002, 0.18944962909748794     )
           2          10 (-4.34768407222704545E-002,-5.14889930779806743E-002)
           2          11 (-4.47753954230881331E-004, 4.51907228929848259E-004)
           2          12 (-1.64325465512096206E-004, 2.01609584963556056E-004)
           2          13 (-1.70711379622211961E-005, 7.55989972101652093E-006)
           2          14 (-2.22186064386857909E-005, 9.00364659235185607E-005)
           2          15 (-1.53668357782328156E-002, 8.03257928131162480E-002)
           2          16 (-6.29425738220756349E-003,-8.14238279968839893E-003)
           3           1 ( 1.30306972433032056E-004,-6.53068171492455682E-005)
           3           2 (-8.04252455730194715E-002,-0.41735660287916737     )
           3           3 ( 0.49999999994326316     ,  0.0000000000000000     )
           3           4 ( 3.97910095161001058E-006,-2.85542638702877870E-006)
           3           5 ( 9.85319596118021390E-008,-3.76870094166469668E-005)
           3           6 ( 1.45062759630640997E-005,-1.02033833214846582E-005)
           3           7 (-1.04270029008635187E-002,-7.74467444045181196E-004)
           3           8 ( 4.11957805609620351E-002, 8.57456678277010859E-002)
           3           9 ( 1.47465999263453936E-004,-1.01384359921510066E-004)
           3          10 ( 3.90798763367661544E-004,-2.25315238854803144E-004)
           3          11 (-5.48724532402131062E-003,-4.73930428440235731E-003)
           3          12 (-5.56842289930757697E-002, 0.14068389252200203     )
           3          13 ( 9.05469959042076548E-003,-4.01963123143291544E-003)
           3          14 ( 9.55955397795941499E-003,-0.19248755398491554     )
           3          15 (-6.18305250884004093E-007, 5.32756837521006547E-005)
           3          16 (-9.62212889144193652E-006,-1.17112173415889233E-006)
           4           1 (-8.04252455539947037E-002, 0.41735660289220039     )
           4           2 (-1.30306972433383501E-004,-6.53068171413544196E-005)
           4           3 ( 3.97910095161001058E-006, 2.85542638702877870E-006)
           4           4 ( 0.50000000005677714     ,  0.0000000000000000     )
           4           5 ( 1.45062759631612442E-005, 1.02033833213367731E-005)
           4           6 (-9.85319627069825010E-008,-3.76870094169191828E-005)
           4           7 ( 4.11957805609633673E-002,-8.57456678277057766E-002)
           4           8 ( 1.04270029008633955E-002,-7.74467444045352608E-004)
           4           9 ( 3.90798763367043549E-004, 2.25315238852840521E-004)
           4          10 (-1.47465999266151865E-004,-1.01384359923388338E-004)
           4          11 (-5.56842289930717868E-002,-0.14068389252196462     )
           4          12 ( 5.48724532402251539E-003,-4.73930428440407121E-003)
           4          13 ( 9.55955397795029901E-003, 0.19248755398492584     )
           4          14 (-9.05469959042078804E-003,-4.01963123143337514E-003)
           4          15 (-9.62212889097984955E-006, 1.17112173418686474E-006)
           4          16 ( 6.18305252395381921E-007, 5.32756837520951794E-005)
           5           1 ( 9.32654940300500085E-003,-5.03894760124024964E-003)
           5           2 ( 2.71543592902242469E-002, 0.14084772762363865     )
           5           3 ( 9.85319596118021390E-008, 3.76870094166469668E-005)
           5           4 ( 1.45062759631612442E-005,-1.02033833213367731E-005)
           5           5 ( 0.49999959700458818     ,  0.0000000000000000     )
           5           6 (-3.52095190426504612E-005, 2.53125319877450794E-005)
           5           7 ( 0.15272998056128825     ,-3.43519863227761540E-002)
           5           8 ( 0.10976366672594828     , 0.21862746189803395     )
           5           9 ( 1.74517570469295835E-004, 6.37460666949474231E-004)
           5          10 ( 2.64404907442436499E-004,-4.34037483628385568E-004)
           5          11 ( 0.12386543638054437     ,-0.20159171901887912     )
           5          12 (-2.35694802198432550E-002, 8.70805082191950797E-002)
           5          13 ( 0.20337046513277773     ,-0.15906643478706478     )
           5          14 ( 7.90672580810865798E-003,-0.11880377921401747     )
           5          15 ( 1.05579466581524894E-005,-8.40058510509916756E-005)
           5          16 ( 7.62190830401396346E-005,-4.20511191001476936E-005)
           6           1 ( 2.71543592838033587E-002,-0.14084772762803444     )
           6           2 (-9.32654940305409005E-003,-5.03894760066725400E-003)
           6           3 ( 1.45062759630640997E-005, 1.02033833214846582E-005)
           6           4 (-9.85319627069825010E-008, 3.76870094169191828E-005)
           6           5 (-3.52095190426504612E-005,-2.53125319877450794E-005)
