damping, xx, xy, xz, yx, yy, yz, zx, zy, zz
1.000000e-05, 8.125886e+06, -6.492553e+02, 1.202394e+04, -6.492553e+02, 8.401498e+04, -5.774524e+05, 1.202394e+04, -5.774524e+05, 5.131844e+06
2.000000e-05, 4.067101e+06, 1.449647e+02, 1.548941e+02, 1.449647e+02, 4.209060e+04, -2.891100e+05, 1.548941e+02, -2.891100e+05, 2.567582e+06
3.000000e-05, 2.695893e+06, -5.224947e+01, 1.462418e+03, -5.224947e+01, 2.818199e+04, -1.937328e+05, 1.462418e+03, -1.937328e+05, 1.719270e+06
5.000000e-05, 1.613931e+06, -5.912521e+02, 4.686619e+03, -5.912521e+02, 1.687198e+04, -1.160204e+05, 4.686619e+03, -1.160204e+05, 1.029705e+06
7.000000e-05, 1.151300e+06, -1.217746e+02, 1.619161e+03, -1.217746e+02, 1.197378e+04, -8.232382e+04, 1.619161e+03, -8.232382e+04, 7.309081e+05
1.000000e-04, 8.130415e+05, -2.841804e+02, 1.385247e+03, -2.841804e+02, 8.438694e+03, -5.800137e+04, 1.385247e+03, -5.800137e+04, 5.151103e+05
2.000000e-04, 4.053189e+05, 1.384223e+01, 9.998688e+00, 1.384223e+01, 4.191784e+03, -2.879896e+04, 9.998688e+00, -2.879896e+04, 2.558290e+05
3.000000e-04, 2.678008e+05, -3.769539e+01, 4.555138e+02, -3.769539e+01, 2.787787e+03, -1.917475e+04, 4.555138e+02, -1.917475e+04, 1.703498e+05
4.000000e-04, 1.992251e+05, 1.587340e+01, 1.178298e+02, 1.587340e+01, 2.074014e+03, -1.425956e+04, 1.178298e+02, -1.425956e+04, 1.265844e+05
5.000000e-04, 1.572366e+05, -3.716013e+01, 3.637167e+02, -3.716013e+01, 1.641700e+03, -1.129425e+04, 3.637167e+02, -1.129425e+04, 1.002369e+05
