(-3.029124070134925e-02,0.000000000000000e+00)  (-1.647527065947461e-01,-3.760074081497657e-02)  (-3.685717580410376e-03,-1.333026381139113e-03)  (1.333026381139084e-03,-3.685717580410389e-03)  (2.201555833152973e-01,7.481271933319757e-05)  (1.467010293878564e-01,2.023983682823863e-04)  (2.023983682824210e-04,-1.467010293878563e-01)  (3.839702204269839e-02,8.952469701504985e-03)  (-2.644341750506635e-01,8.568511227508760e-01)  (-8.451840826045408e-02,1.463353836830288e-01)  (2.360141123264523e-03,-3.129493580896146e-03)  (3.129493580896298e-03,2.360141123264470e-03)  (5.796492085417073e-02,-1.876375340895354e-01)  (1.399572930114730e-02,-4.586661260203008e-02)  (-4.586661260203006e-02,-1.399572930114729e-02)  (-1.989653235744143e-02,3.403971984421949e-02)  
(-1.647527065947461e-01,3.760074081497657e-02)  (8.524440059250431e-01,0.000000000000000e+00)  (-8.811535251359666e-02,1.190186481615551e-05)  (-1.190186481619056e-05,-8.811535251359684e-02)  (3.839654116625685e-02,-8.965861267693026e-03)  (3.693738406182520e-03,-1.316369040341747e-03)  (-1.316369040341532e-03,-3.693738406183032e-03)  (-1.340245256415587e-03,7.117499007427150e-06)  (-1.266166138608388e-02,1.685135644303964e-01)  (-4.122720128611766e-03,1.337038725271555e-02)  (-3.144049262467601e-02,1.017952551910887e-01)  (-1.017952551910887e-01,-3.144049262467606e-02)  (-2.777053782891667e-03,3.933034376827788e-02)  (1.694256220377384e-04,3.917319608880688e-03)  (3.917319608880082e-03,-1.694256220379096e-04)  (1.233692207094973e-01,-3.992572157054006e-01)  
(-3.685717580410376e-03,1.333026381139113e-03)  (-8.811535251359666e-02,-1.190186481615551e-05)  (-5.858776370895805e-01,0.000000000000000e+00)  (4.403043602213967e-17,3.042371951519162e-01)  (-6.808585352166781e-03,3.247887074473135e-03)  (-1.390857446501468e-01,1.652984269693873e-02)  (1.014399464211002e-03,-1.015398782345660e-01)  (3.010533638636796e-01,-4.926041799594250e-05)  (1.694256220376008e-04,3.917319608880339e-03)  (3.144049262467589e-02,-1.017952551910889e-01)  (1.163004591301551e-01,-3.764240174693421e-01)  (3.060068078482769e-01,9.455452623031342e-02)  (-1.144252108875293e-03,-7.456893679594837e-03)  (9.419021915302564e-02,1.426066648410584e-01)  (-1.836514753927982e-01,9.991883004091269e-02)  (9.038002776196427e-02,-2.923605310416337e-01)  
(1.333026381139084e-03,3.685717580410389e-03)  (-1.190186481619056e-05,8.811535251359684e-02)  (4.403043602213967e-17,-3.042371951519162e-01)  (-5.858776370895796e-01,0.000000000000000e+00)  (3.247887074473098e-03,6.808585352166796e-03)  (1.014399464210669e-03,-1.015398782345651e-01)  (1.390857446501462e-01,-1.652984269693884e-02)  (-4.926041799552133e-05,-3.010533638636795e-01)  (3.917319608880561e-03,-1.694256220376313e-04)  (-1.017952551910889e-01,-3.144049262467603e-02)  (-3.060068078482782e-01,-9.455452623031364e-02)  (1.163004591301553e-01,-3.764240174693418e-01)  (-7.456893679594852e-03,1.144252108875184e-03)  (-1.836514753927982e-01,9.991883004091305e-02)  (-9.419021915302574e-02,-1.426066648410581e-01)  (-2.923605310416348e-01,-9.038002776196409e-02)  
(2.201555833152973e-01,-7.481271933319757e-05)  (3.839654116625685e-02,8.965861267693026e-03)  (-6.808585352166781e-03,-3.247887074473135e-03)  (3.247887074473098e-03,-6.808585352166796e-03)  (-5.803510216255016e-01,0.000000000000000e+00)  (-1.266882498873677e-01,-5.139259537796595e-04)  (-5.139259537794743e-04,1.266882498873679e-01)  (-5.837051732881540e-03,-6.794116620451526e-04)  (-5.796492085417105e-02,1.876375340895365e-01)  (1.989653235744130e-02,-3.403971984421932e-02)  (5.105799728261324e-03,-5.552876328291447e-03)  (5.552876328291053e-03,5.105799728261480e-03)  (8.356061501176576e-02,-2.685970784936597e-01)  (-1.412036974815311e-01,4.591549173327119e-01)  (4.591549173327123e-01,1.412036974815311e-01)  (2.389613199581669e-03,-5.361607032782325e-03)  
(1.467010293878564e-01,-2.023983682823863e-04)  (3.693738406182520e-03,1.316369040341747e-03)  (-1.390857446501468e-01,-1.652984269693873e-02)  (1.014399464210669e-03,1.015398782345651e-01)  (-1.266882498873677e-01,5.139259537796595e-04)  (7.657654830203270e-01,0.000000000000000e+00)  (-1.789890632569806e-16,1.243493492211694e-01)  (6.790915666857444e-03,3.285726435951768e-03)  (-1.399572930114682e-02,4.586661260202875e-02)  (2.360141123264306e-03,-3.129493580896250e-03)  (-1.582318478067519e-01,6.463511789848150e-02)  (9.536243381307924e-02,1.860405450657185e-01)  (-1.412036974815297e-01,4.591549173327080e-01)  (-4.115442591437145e-02,1.351183908315131e-01)  (6.470118121044811e-02,1.940849301452948e-02)  (-5.105799728262018e-03,5.552876328289441e-03)  
(2.023983682824210e-04,1.467010293878563e-01)  (-1.316369040341532e-03,3.693738406183032e-03)  (1.014399464211002e-03,1.015398782345660e-01)  (1.390857446501462e-01,1.652984269693884e-02)  (-5.139259537794743e-04,-1.266882498873679e-01)  (-1.789890632569806e-16,-1.243493492211694e-01)  (7.657654830203265e-01,0.000000000000000e+00)  (-3.285726435951370e-03,6.790915666859194e-03)  (-4.586661260202877e-02,-1.399572930114692e-02)  (3.129493580896576e-03,2.360141123264530e-03)  (9.536243381307831e-02,1.860405450657180e-01)  (1.582318478067529e-01,-6.463511789848141e-02)  (-4.591549173327077e-01,-1.412036974815296e-01)  (-6.470118121044849e-02,-1.940849301452930e-02)  (-4.115442591437152e-02,1.351183908315131e-01)  (-5.552876328291931e-03,-5.105799728261334e-03)  
(3.839702204269839e-02,-8.952469701504985e-03)  (-1.340245256415587e-03,-7.117499007427150e-06)  (3.010533638636796e-01,4.926041799594250e-05)  (-4.926041799552133e-05,3.010533638636795e-01)  (-5.837051732881540e-03,6.794116620451526e-04)  (6.790915666857444e-03,-3.285726435951768e-03)  (-3.285726435951370e-03,-6.790915666859194e-03)  (-6.015774354596843e-01,0.000000000000000e+00)  (2.777053782891764e-03,-3.933034376827806e-02)  (-1.233692207094973e-01,3.992572157054002e-01)  (9.038002776196456e-02,-2.923605310416348e-01)  (2.923605310416340e-01,9.038002776196392e-02)  (1.096622590991617e-03,-5.779993707591531e-03)  (1.144252108874422e-03,7.456893679596252e-03)  (7.456893679594239e-03,-1.144252108874996e-03)  (8.939268595652433e-02,-2.890101521388708e-01)  
(-2.644341750506635e-01,-8.568511227508760e-01)  (-1.266166138608388e-02,-1.685135644303964e-01)  (1.694256220376008e-04,-3.917319608880339e-03)  (3.917319608880561e-03,1.694256220376313e-04)  (-5.796492085417105e-02,-1.876375340895365e-01)  (-1.399572930114682e-02,-4.586661260202875e-02)  (-4.586661260202877e-02,1.399572930114692e-02)  (2.777053782891764e-03,3.933034376827806e-02)  (-3.029124070133983e-02,0.000000000000000e+00)  (-1.647527065947445e-01,-3.760074081497691e-02)  (3.693738406182679e-03,1.316369040341507e-03)  (-1.316369040341557e-03,3.693738406182725e-03)  (-2.201555833152977e-01,7.481271933315289e-05)  (-1.467010293878577e-01,2.023983682823432e-04)  (2.023983682824231e-04,1.467010293878578e-01)  (-3.839654116625699e-02,-8.965861267692964e-03)  
(-8.451840826045408e-02,-1.463353836830288e-01)  (-4.122720128611766e-03,-1.337038725271555e-02)  (3.144049262467589e-02,1.017952551910889e-01)  (-1.017952551910889e-01,3.144049262467603e-02)  (1.989653235744130e-02,3.403971984421932e-02)  (2.360141123264306e-03,3.129493580896250e-03)  (3.129493580896576e-03,-2.360141123264530e-03)  (-1.233692207094973e-01,-3.992572157054002e-01)  (-1.647527065947445e-01,3.760074081497691e-02)  (8.524440059250431e-01,0.000000000000000e+00)  (8.811535251359681e-02,1.190186481625582e-05)  (-1.190186481613714e-05,8.811535251359663e-02)  (-3.839702204269844e-02,8.952469701504958e-03)  (-3.685717580410764e-03,1.333026381138927e-03)  (1.333026381139006e-03,3.685717580410258e-03)  (1.340245256415698e-03,7.117499007483392e-06)  
