(1.663246557083444e-02,1.456896669277397e-19)  (-6.295252273900061e-02,4.500190867371469e-01)  (-1.154588820447145e-01,-1.098017801564759e-01)  (6.682834127096603e-02,8.159212653294018e-02)  (1.501742301225347e-02,-6.788785096318586e-02)  (2.358048569681107e-01,5.427017893525340e-02)  (-3.225619929599410e-01,1.122129823456954e-01)  (9.078442550543337e-03,6.501624976593982e-02)  (1.164940761019853e-02,-1.671958097241836e-02)  (5.483869278685274e-01,7.875571101967008e-02)  (6.534778627846032e-02,-1.319639828375500e-01)  (-6.165408463113377e-02,1.719643224190755e-01)  (5.597686136428433e-02,1.070217738612476e-01)  (6.377375926398479e-02,1.182484937759536e-01)  (-5.215617947839752e-03,-3.987486510120170e-01)  (-7.567425120485431e-02,1.122800903265298e-01)  
(-6.295252273900059e-02,-4.500190867371469e-01)  (-2.876374920760584e-16,0.000000000000000e+00)  (-5.624186432698199e-02,1.508671459812548e-01)  (-2.149856308600524e-01,6.771277793094831e-02)  (-1.517892792779874e-01,2.111302744077685e-01)  (-6.068292536711204e-02,-1.587767373316866e-01)  (1.090088808343202e-01,-3.604856500754978e-02)  (4.738361001914106e-03,-3.022047456952660e-01)  (-4.874247197694562e-01,-1.612689120808431e-02)  (1.564588048904142e-02,1.672313282511323e-03)  (3.326327421661345e-01,6.217010320644721e-02)  (1.362940975941522e-01,8.560489393259717e-02)  (1.037659679735233e-01,1.332871675713164e-01)  (-8.134372352124739e-02,5.857289145156400e-02)  (-6.464255101903110e-03,-1.627475239487448e-01)  (-2.514191768165937e-01,-9.447661874618206e-02)  
(-1.154588820447145e-01,1.098017801564759e-01)  (-5.624186432698199e-02,-1.508671459812549e-01)  (2.945800080689572e-01,-5.204170427930421e-18)  (2.279842557780225e-04,-1.464111249352541e-01)  (1.700104245673498e-01,-1.528391816304466e-01)  (1.958817288922163e-01,1.170673553923683e-01)  (3.056650352432277e-01,1.657597744793567e-02)  (-3.792100347499781e-01,-1.317750207976780e-01)  (-7.804759721645284e-02,-3.979437254457557e-02)  (3.414165300648989e-01,8.370025297547119e-02)  (-1.629618906392860e-02,1.002834916435333e-01)  (1.860439116868048e-01,1.492001917014069e-01)  (-1.065718118565649e-01,7.547022923201957e-02)  (1.946436523738745e-01,-2.983993238955693e-01)  (-1.191646905727066e-01,-5.715833007871487e-02)  (2.088682190305419e-02,-3.477643047537234e-01)  
(6.682834127096605e-02,-8.159212653294018e-02)  (-2.149856308600524e-01,-6.771277793094829e-02)  (2.279842557780035e-04,1.464111249352541e-01)  (6.050792942928727e-02,0.000000000000000e+00)  (-4.569442392117201e-01,-1.530029885316027e-01)  (5.137906812354018e-02,1.309612189043240e-02)  (2.691336494808030e-02,-9.836074187920534e-02)  (-3.140240254980421e-01,-2.036675814413956e-01)  (-3.299244735732996e-02,2.255869417299154e-01)  (1.566329929696626e-01,-1.316150060243322e-01)  (-2.550664232919452e-01,2.731355571700760e-01)  (-1.159225089791622e-01,2.012986201568595e-01)  (-1.575436129165514e-01,-2.261360882086186e-01)  (-1.430283019322634e-01,1.901053833750015e-01)  (2.850078413826795e-03,4.824119774224567e-02)  (1.107471014306526e-01,3.047211709895276e-01)  
(1.501742301225348e-02,6.788785096318588e-02)  (-1.517892792779874e-01,-2.111302744077685e-01)  (1.700104245673498e-01,1.528391816304466e-01)  (-4.569442392117201e-01,1.530029885316027e-01)  (6.484056163734626e-02,0.000000000000000e+00)  (-1.803201525645113e-01,-9.730641742433105e-02)  (-1.933422319381516e-01,3.760172867438019e-02)  (6.776968346577900e-02,3.080627390559018e-01)  (-2.129844035983620e-01,1.530294915781511e-02)  (1.985986440877683e-01,-1.718120083528463e-01)  (-8.755025987824727e-02,-5.191294845414483e-02)  (-3.081457707128539e-01,2.066371189879970e-01)  (2.295262348530535e-01,-1.356224395959062e-01)  (1.306284464051444e-01,7.512031722762684e-02)  (1.784881659613646e-02,5.627298459487139e-02)  (2.135502281386422e-01,-2.305605776943581e-01)  
(2.358048569681107e-01,-5.427017893525343e-02)  (-6.068292536711204e-02,1.587767373316866e-01)  (1.958817288922163e-01,-1.170673553923683e-01)  (5.137906812354018e-02,-1.309612189043241e-02)  (-1.803201525645113e-01,9.730641742433105e-02)  (3.541100745545719e-01,-1.387778780781446e-17)  (-1.440831586084586e-01,1.050436867039775e-01)  (-1.765412005051680e-02,-1.602275243436955e-01)  (-2.402026779581609e-01,2.496748679289742e-01)  (-1.124714342557631e-01,3.918393884189645e-02)  (-1.805477275030200e-01,-3.678913313170303e-02)  (-1.701313554479119e-01,-4.038464032152944e-01)  (1.274507995986487e-01,1.259897857073726e-01)  (3.787702940304037e-01,6.483274468681639e-02)  (-5.525680633309980e-02,2.418347174682026e-01)  (-1.565400027921656e-02,-1.753247763796058e-01)  
(-3.225619929599409e-01,-1.122129823456954e-01)  (1.090088808343202e-01,3.604856500754978e-02)  (3.056650352432277e-01,-1.657597744793567e-02)  (2.691336494808029e-02,9.836074187920532e-02)  (-1.933422319381516e-01,-3.760172867438021e-02)  (-1.440831586084586e-01,-1.050436867039775e-01)  (-4.411575175496266e-01,0.000000000000000e+00)  (-5.027370049946863e-02,-1.302521614063107e-01)  (-6.168729950246902e-02,-2.753678549535845e-01)  (-1.991266781073972e-02,-6.553053808162176e-02)  (-3.342949652824669e-01,-6.293258899897095e-02)  (1.213962770931541e-01,-7.252660786949922e-02)  (-6.756437819081672e-02,1.863203521330177e-01)  (-9.186921243459140e-02,-3.712912857667147e-01)  (2.586921755142090e-01,-1.188860250172610e-02)  (6.701904863312436e-02,6.485365353533035e-02)  
(9.078442550543337e-03,-6.501624976593982e-02)  (4.738361001914108e-03,3.022047456952660e-01)  (-3.792100347499781e-01,1.317750207976780e-01)  (-3.140240254980422e-01,2.036675814413956e-01)  (6.776968346577901e-02,-3.080627390559018e-01)  (-1.765412005051681e-02,1.602275243436955e-01)  (-5.027370049946862e-02,1.302521614063107e-01)  (-4.958358602305737e-01,-6.938893903907228e-18)  (6.070870467701606e-02,-1.129367187019099e-01)  (-3.452702735071696e-01,-7.056403599672812e-04)  (-8.165433838310397e-02,4.119767743475710e-02)  (8.775496072717170e-02,-7.779232575222067e-02)  (1.292224170423979e-01,-5.012065855031450e-02)  (6.763469709377275e-02,-1.633289338875533e-02)  (3.705272027539269e-02,-4.868785504379666e-02)  (3.769200517713923e-02,-1.589724977503281e-01)  
(1.164940761019853e-02,1.671958097241836e-02)  (-4.874247197694562e-01,1.612689120808431e-02)  (-7.804759721645282e-02,3.979437254457559e-02)  (-3.299244735732995e-02,-2.255869417299154e-01)  (-2.129844035983620e-01,-1.530294915781512e-02)  (-2.402026779581610e-01,-2.496748679289741e-01)  (-6.168729950246898e-02,2.753678549535844e-01)  (6.070870467701604e-02,1.129367187019099e-01)  (1.825800134973534e-02,4.845028458294598e-19)  (-6.486837136330272e-02,3.522676088821078e-01)  (-1.965956887761419e-02,-6.129216598612952e-02)  (2.181179740230041e-01,-2.146727371516972e-02)  (6.737673720928258e-02,-8.262089105558290e-02)  (1.444512691257472e-01,-2.613338787866314e-01)  (-3.692504287681758e-01,-4.567171370750184e-02)  (6.759740385741298e-04,1.435670531440706e-01)  
(5.483869278685274e-01,-7.875571101967008e-02)  (1.564588048904142e-02,-1.672313282511323e-03)  (3.414165300648989e-01,-8.370025297547118e-02)  (1.566329929696626e-01,1.316150060243322e-01)  (1.985986440877683e-01,1.718120083528463e-01)  (-1.124714342557631e-01,-3.918393884189645e-02)  (-1.991266781073972e-02,6.553053808162176e-02)  (-3.452702735071697e-01,7.056403599672874e-04)  (-6.486837136330272e-02,-3.522676088821078e-01)  (1.675492555520182e-04,0.000000000000000e+00)  (1.015251525070710e-01,-8.701678336197460e-02)  (8.085611069727018e-02,2.307412142652771e-02)  (1.648635869759899e-01,-2.500813515664684e-01)  (-2.273729224579692e-02,8.442169263348058e-03)  (1.804948483734257e-02,2.270445966184685e-02)  (-3.096132181452105e-02,2.738373599558094e-01)  
