damping, xx, xy, xz, yx, yy, yz, zx, zy, zz
1.000000e-05, 6.429999e+06, -4.676599e+03, 2.062450e+04, -4.676599e+03, 8.725597e+04, -4.507389e+05, 2.062450e+04, -4.507389e+05, 4.269667e+06
2.000000e-05, 3.226928e+06, -3.122361e+01, -4.833079e+03, -3.122361e+01, 4.356080e+04, -2.246015e+05, -4.833079e+03, -2.246015e+05, 2.126995e+06
3.000000e-05, 2.143644e+06, 3.366913e+02, 1.659902e+03, 3.366913e+02, 2.926269e+04, -1.508027e+05, 1.659902e+03, -1.508027e+05, 1.418354e+06
5.000000e-05, 1.294136e+06, 7.994573e+01, 5.046804e+02, 7.994573e+01, 1.749433e+04, -9.012133e+04, 5.046804e+02, -9.012133e+04, 8.508213e+05
7.000000e-05, 9.186613e+05, 1.355350e+01, 1.822760e+02, 1.355350e+01, 1.244136e+04, -6.424770e+04, 1.822760e+02, -6.424770e+04, 6.097809e+05
1.000000e-04, 6.455355e+05, -8.106881e-01, -6.323170e+02, -8.106881e-01, 8.797316e+03, -4.539483e+04, -6.323170e+02, -4.539483e+04, 4.269105e+05
2.000000e-04, 3.220523e+05, 2.152415e+01, 2.752433e+02, 2.152415e+01, 4.392229e+03, -2.264602e+04, 2.752433e+02, -2.264602e+04, 2.129232e+05
3.000000e-04, 2.139000e+05, 1.103026e+01, 3.225744e+02, 1.103026e+01, 2.906599e+03, -1.500485e+04, 3.225744e+02, -1.500485e+04, 1.418125e+05
4.000000e-04, 1.604061e+05, -2.203349e+01, -4.447138e+01, -2.203349e+01, 2.184139e+03, -1.126501e+04, -4.447138e+01, -1.126501e+04, 1.061297e+05
5.000000e-04, 1.278126e+05, -5.279059e+01, 3.876272e+02, -5.279059e+01, 1.738043e+03, -8.962694e+03, 3.876272e+02, -8.962694e+03, 8.456522e+04
