damping, xx, xy, xz, yx, yy, yz, zx, zy, zz
1.000000e-05, 1.678641e+06, -2.758113e+06, 3.835432e+05, -2.758113e+06, 4.867994e+06, 2.363829e+05, 3.835432e+05, 2.363829e+05, 4.250744e+06
2.000000e-05, 8.323299e+05, -1.366636e+06, 1.947221e+05, -1.366636e+06, 2.412565e+06, 1.159170e+05, 1.947221e+05, 1.159170e+05, 2.138215e+06
3.000000e-05, 5.593440e+05, -9.184762e+05, 1.303939e+05, -9.184762e+05, 1.620407e+06, 7.540539e+04, 1.303939e+05, 7.540539e+04, 1.425067e+06
5.000000e-05, 3.340380e+05, -5.478781e+05, 7.878511e+04, -5.478781e+05, 9.656684e+05, 4.380192e+04, 7.878511e+04, 4.380192e+04, 8.502728e+05
7.000000e-05, 2.389925e+05, -3.927399e+05, 5.413391e+04, -3.927399e+05, 6.934295e+05, 3.497977e+04, 5.413391e+04, 3.497977e+04, 6.086149e+05
1.000000e-04, 1.678681e+05, -2.757047e+05, 3.944934e+04, -2.757047e+05, 4.865519e+05, 2.214367e+04, 3.944934e+04, 2.214367e+04, 4.264137e+05
2.000000e-04, 8.361164e+04, -1.373342e+05, 1.914768e+04, -1.373342e+05, 2.423821e+05, 1.191450e+04, 1.914768e+04, 1.191450e+04, 2.129100e+05
3.000000e-04, 5.575256e+04, -9.149682e+04, 1.306398e+04, -9.149682e+04, 1.613268e+05, 7.369062e+03, 1.306398e+04, 7.369062e+03, 1.416749e+05
4.000000e-04, 4.170455e+04, -6.849973e+04, 9.758476e+03, -6.849973e+04, 1.209118e+05, 5.619777e+03, 9.758476e+03, 5.619777e+03, 1.061489e+05
5.000000e-04, 3.329391e+04, -5.466061e+04, 7.677022e+03, -5.466061e+04, 9.639194e+04, 4.554761e+03, 7.677022e+03, 4.554761e+03, 8.427069e+04
