           1           1 ( 3.43318289705042288E-025,  0.0000000000000000     )
           1           2 (-3.04370303195502439E-025, 5.67738730825641919E-025)
           2           1 (-3.04370303195502439E-025,-5.67738730825641919E-025)
           2           2 (-3.43318289705042288E-025,  0.0000000000000000     )
           3           3 (-3.96195284696564346E-025,  0.0000000000000000     )
           3           4 ( 5.48573398459567017E-025, 3.88903093951098140E-025)
           4           3 ( 5.48573398459567017E-025,-3.88903093951098140E-025)
           4           4 ( 3.96195284696564346E-025,  0.0000000000000000     )
           5           5 ( 6.91073693247068538E-024,  0.0000000000000000     )
           5           6 (-5.05207684088574727E-024, 4.16221210005968553E-024)
           6           5 (-5.05207684088574727E-024,-4.16221210005968553E-024)
           6           6 (-6.91073693247068538E-024,  0.0000000000000000     )
           7           7 ( 1.69727655340479776E-023,  0.0000000000000000     )
           7           8 (-6.01018674356654010E-025, 9.95641314897939105E-024)
           8           7 (-6.01018674356654010E-025,-9.95641314897939105E-024)
           8           8 (-1.69727655340479776E-023,  0.0000000000000000     )
           9           9 ( 6.04006480281084269E-024,  0.0000000000000000     )
           9          10 (-1.53343204564866661E-021, 2.44367666005735600E-021)
          10           9 (-1.53343204564866661E-021,-2.44367666005735600E-021)
          10          10 (-6.04006480281084269E-024,  0.0000000000000000     )
          11          11 (-2.76240382963824380E-021,  0.0000000000000000     )
          11          12 ( 6.07476290545081841E-022,-5.56181356035153736E-022)
          12          11 ( 6.07476290545081841E-022, 5.56181356035153736E-022)
          12          12 ( 2.76240382963824380E-021,  0.0000000000000000     )
          13          13 (-5.23138602531868605E-023,  0.0000000000000000     )
          13          14 (-2.41853242186565191E-023, 1.11826992812419322E-023)
          14          13 (-2.41853242186565191E-023,-1.11826992812419322E-023)
          14          14 ( 5.23138602531868605E-023,  0.0000000000000000     )
          15          15 ( 6.31931113957370482E-023,  0.0000000000000000     )
          15          16 ( 2.16154346828504061E-023,-1.63652242935547694E-023)
          16          15 ( 2.16154346828504061E-023, 1.63652242935547694E-023)
          16          16 (-6.31931113957370482E-023,  0.0000000000000000     )
