           1           1 (-2.21740814055739941E-024,  0.0000000000000000     )
           1           2 (-5.49774316403939621E-025, 5.45017599810185289E-026)
           2           1 (-5.49774316403939621E-025,-5.45017599810185289E-026)
           2           2 ( 2.21740814055739941E-024,  0.0000000000000000     )
           3           3 (-2.29869337459562878E-024,  0.0000000000000000     )
           3           4 ( 6.73778699317474601E-025,-6.68446964761567570E-026)
           4           3 ( 6.73778699317474601E-025, 6.68446964761567570E-026)
           4           4 ( 2.29869337459562878E-024,  0.0000000000000000     )
           5           5 (-1.96540705048973578E-023,  0.0000000000000000     )
           5           6 (-5.99466313407294266E-023, 2.42705459843887052E-023)
           6           5 (-5.99466313407294266E-023,-2.42705459843887052E-023)
           6           6 ( 1.96540705048973578E-023,  0.0000000000000000     )
           7           7 (-7.75044796766034816E-023,  0.0000000000000000     )
           7           8 ( 7.12046446631614286E-024,-5.29112653306721031E-024)
           8           7 ( 7.12046446631614286E-024, 5.29112653306721031E-024)
           8           8 ( 7.75044796766034816E-023,  0.0000000000000000     )
           9           9 (-2.24537266921400219E-022,  0.0000000000000000     )
           9          10 (-6.60686028719329617E-022,-4.15433475016526075E-022)
          10           9 (-6.60686028719329617E-022, 4.15433475016526075E-022)
          10          10 ( 2.24537266921400219E-022,  0.0000000000000000     )
          11          11 (-3.43453094698222672E-022,  0.0000000000000000     )
          11          12 ( 3.14659563061561308E-023, 7.21491644629591465E-022)
          12          11 ( 3.14659563061561308E-023,-7.21491644629591465E-022)
          12          12 ( 3.43453094698222672E-022,  0.0000000000000000     )
          13          13 ( 3.92590368457674616E-023,  0.0000000000000000     )
          13          14 (-7.21595083521519985E-024,-1.03241660633292877E-023)
          14          13 (-7.21595083521519985E-024, 1.03241660633292877E-023)
          14          14 (-3.92590368457674616E-023,  0.0000000000000000     )
          15          15 ( 3.33856664085213504E-023,  0.0000000000000000     )
          15          16 (-1.16129426204934550E-023, 1.25936748575975167E-024)
          16          15 (-1.16129426204934550E-023,-1.25936748575975167E-024)
          16          16 (-3.33856664085213504E-023,  0.0000000000000000     )
