           1           1 ( 2.01274172776740568E-038,  0.0000000000000000     )
           1           2 (-1.76727431117757630E-025,-5.72549645924396550E-025)
           2           1 (-1.76727431117757630E-025, 5.72549645924396550E-025)
           2           2 (-2.01274172776740568E-038,  0.0000000000000000     )
           3           3 ( 8.00562352451944993E-025,  0.0000000000000000     )
           3           4 ( 1.92599629292645313E-026,-6.74153437943160673E-027)
           4           3 ( 1.92599629292645313E-026, 6.74153437943160673E-027)
           4           4 (-8.00562352451944993E-025,  0.0000000000000000     )
           5           5 ( 2.96483171244092807E-023,  0.0000000000000000     )
           5           6 (-8.88335292437877374E-023,-2.72800223321109333E-022)
           6           5 (-8.88335292437877374E-023, 2.72800223321109333E-022)
           6           6 (-2.96483171244092807E-023,  0.0000000000000000     )
           7           7 (-1.20283434238657336E-022,  0.0000000000000000     )
           7           8 ( 9.87232835131515542E-023, 2.61204633232228879E-022)
           8           7 ( 9.87232835131515542E-023,-2.61204633232228879E-022)
           8           8 ( 1.20283434238657336E-022,  0.0000000000000000     )
           9           9 (-4.94488119665515977E-038,  0.0000000000000000     )
           9          10 (-1.00862395686788058E-038, 1.07881335243539380E-038)
          10           9 (-1.00862395686788058E-038,-1.07881335243539380E-038)
          10          10 ( 4.94488119665515977E-038,  0.0000000000000000     )
          11          11 (-1.37007041286205442E-024,  0.0000000000000000     )
          11          12 (-6.62054965644190235E-024,-2.16070391487888607E-023)
          12          11 (-6.62054965644190235E-024, 2.16070391487888607E-023)
          12          12 ( 1.37007041286205442E-024,  0.0000000000000000     )
          13          13 (-1.91583338749287859E-039,  0.0000000000000000     )
          13          14 (-1.22439580526687687E-038,-6.81816212056394652E-042)
          14          13 (-1.22439580526687687E-038, 6.81816212056394652E-042)
          14          14 ( 1.91583338749287859E-039,  0.0000000000000000     )
          15          15 ( 1.34546327164240670E-025,  0.0000000000000000     )
          15          16 ( 2.53375802124550338E-024,-6.33330731114476469E-024)
          16          15 ( 2.53375802124550338E-024, 6.33330731114476469E-024)
          16          16 (-1.34546327164240670E-025,  0.0000000000000000     )
